zip,state,latitude,longitude,county
85638,AZ,31.71,-110.04,cochise
85639,AZ,31.8,-111.74,pima
85640,AZ,31.55,-111.03,santa cruz
85641,AZ,31.95,-110.69,pima
85643,AZ,32.43,-109.88,cochise
85644,AZ,32.25,-109.83,cochise
85645,AZ,31.71,-111.02,santa cruz
85646,AZ,31.63,-111.06,santa cruz
85648,AZ,31.5,-111.06,santa cruz
85650,AZ,31.5,-110.21,cochise
85652,AZ,32.380000000000003,-111.11,pima
85653,AZ,32.450000000000003,-111.29,pima
85654,AZ,32.409999999999997,-111.16,pima
85655,AZ,31.34,-109.52,cochise
85658,AZ,32.51,-111.16,pima
85662,AZ,31.36,-110.93,santa cruz
85670,AZ,31.55,-110.35,cochise
85671,AZ,31.56,-110.32,cochise
85701,AZ,32.21,-110.96,pima
85702,AZ,32.21,-110.97,pima
85703,AZ,32.270000000000003,-110.99,pima
85704,AZ,32.33,-110.98,pima
85705,AZ,32.26,-111,pima
85706,AZ,32.07,-110.88,pima
85707,AZ,32.18,-110.86,pima
85708,AZ,32.17,-110.87,pima
85709,AZ,32.229999999999997,-111.01,pima
85710,AZ,32.22,-110.82,pima
85711,AZ,32.21,-110.88,pima
85712,AZ,32.25,-110.87,pima
85713,AZ,32.19,-110.98,pima
85714,AZ,32.159999999999997,-110.91,pima
85715,AZ,32.25,-110.82,pima
85716,AZ,32.24,-110.92,pima
85717,AZ,32.24,-110.94,pima
85718,AZ,32.31,-110.92,pima
85719,AZ,32.24,-110.95,pima
85720,AZ,32.19,-110.89,pima
85721,AZ,32.229999999999997,-110.95,pima
85722,AZ,32.229999999999997,-110.94,pima
85723,AZ,32.19,-111,pima
85724,AZ,32.24,-110.94,pima
85725,AZ,32.19,-111.01,pima
85726,AZ,32.200000000000003,-110.94,pima
85728,AZ,32.31,-110.91,pima
85730,AZ,32.17,-110.79,pima
85731,AZ,32.21,-110.76,pima
85732,AZ,32.21,-110.88,pima
85733,AZ,32.08,-111.07,pima
85734,AZ,32.11,-110.89,pima
85735,AZ,32.06,-111.42,pima
85736,AZ,31.9,-111.36,pima
85737,AZ,32.43,-110.95,pima
85738,AZ,32.22,-110.92,pima
85739,AZ,32.54,-110.95,pima
85740,AZ,32.36,-111.07,pima
85741,AZ,32.33,-111.05,pima
85742,AZ,32.43,-111.03,pima
85743,AZ,32.299999999999997,-111.16,pima
85744,AZ,32.04,-110.67,pima
85745,AZ,32.25,-111.08,pima
85746,AZ,32.090000000000003,-111.08,pima
85747,AZ,32.1,-110.68,pima
85748,AZ,32.21,-110.75,pima
85749,AZ,32.28,-110.73,pima
85750,AZ,32.29,-110.83,pima
85751,AZ,32.24,-110.83,pima
85752,AZ,32.35,-111.04,pima
85754,AZ,32.229999999999997,-111,pima
85755,AZ,32.46,-110.97,pima
85756,AZ,32.07,-110.92,pima
85757,AZ,32.08,-111.11,pima
85775,AZ,32.21,-110.97,pima
85777,AZ,32.090000000000003,-110.91,pima
85901,AZ,34.229999999999997,-110.07,navajo
85902,AZ,34.25,-110.02,navajo
85911,AZ,34.15,-110.51,navajo
85912,AZ,34.32,-110.07,navajo
85920,AZ,33.83,-109.19,apache
85922,AZ,33.520000000000003,-109.21,greenlee
85923,AZ,34.36,-110.29,navajo
85924,AZ,34.51,-109.69,apache
85925,AZ,34.11,-109.38,apache
85926,AZ,34.049999999999997,-109.88,navajo
85927,AZ,34,-109.48,apache
85928,AZ,34.53,-110.44,navajo
85929,AZ,34.1,-110.08,navajo
85930,AZ,34.06,-109.7,apache
85931,AZ,34.42,-110.91,coconino
85932,AZ,33.93,-109.22,apache
85933,AZ,34.369999999999997,-110.48,navajo
85934,AZ,34.270000000000003,-110.28,navajo
85935,AZ,34.08,-109.9,navajo
85936,AZ,34.56,-109.33,apache
85937,AZ,34.64,-110.11,navajo
85938,AZ,34.04,-109.2,apache
85939,AZ,34.43,-110.06,navajo
85940,AZ,34.22,-109.64,apache
85941,AZ,33.799999999999997,-110.09,navajo
85942,AZ,34.799999999999997,-109.94,navajo
86001,AZ,35.229999999999997,-111.72,coconino
86002,AZ,35.56,-112.58,coconino
86003,AZ,35.22,-111.57,coconino
86004,AZ,35.29,-111.32,coconino
86011,AZ,35.18,-111.62,coconino
86015,AZ,35.229999999999997,-111.78,coconino
86016,AZ,35.67,-111.45,coconino
86017,AZ,34.92,-111.62,coconino
86018,AZ,35.22,-111.89,coconino
86020,AZ,36.049999999999997,-111.45,coconino
86021,AZ,36.97,-112.98,mohave
86022,AZ,36.74,-112.11,coconino
86023,AZ,35.89,-112.27,coconino
86024,AZ,34.729999999999997,-111.15,coconino
86025,AZ,34.94,-110.09,navajo
86028,AZ,34.79,-109.87,navajo
86029,AZ,34.96,-110.05,navajo
86030,AZ,36.07,-110.58,navajo
86031,AZ,35.409999999999997,-110.08,navajo
86032,AZ,35.049999999999997,-110.4,navajo
86033,AZ,36.64,-110.18,navajo
86034,AZ,35.76,-110.25,navajo
86035,AZ,35.409999999999997,-111.02,coconino
86036,AZ,36.74,-111.85,coconino
86038,AZ,34.93,-111.47,coconino
86039,AZ,35.909999999999997,-110.53,navajo
86040,AZ,36.68,-111.41,coconino
86042,AZ,35.840000000000003,-110.37,navajo
86043,AZ,35.81,-110.48,navajo
86044,AZ,36.909999999999997,-110.87,coconino
86045,AZ,36.090000000000003,-111.13,coconino
86046,AZ,35.369999999999997,-112.26,coconino
86047,AZ,35.1,-110.64,navajo
86052,AZ,36.299999999999997,-112.08,coconino
86053,AZ,36.69,-111.07,coconino
86054,AZ,36.72,-110.62,navajo
86301,AZ,34.619999999999997,-112.42,yavapai
86302,AZ,34.58,-112.43,yavapai
86303,AZ,34.49,-112.44,yavapai
86304,AZ,34.57,-112.44,yavapai
86305,AZ,34.76,-112.88,yavapai
86312,AZ,34.61,-112.32,yavapai
86313,AZ,34.54,-112.46,yavapai
86314,AZ,34.659999999999997,-112.29,yavapai
86315,AZ,34.69,-112.3,yavapai
86320,AZ,35.130000000000003,-112.52,yavapai
86321,AZ,34.5,-113.07,yavapai
86322,AZ,34.479999999999997,-111.78,yavapai
86323,AZ,34.770000000000003,-112.45,yavapai
86324,AZ,34.79,-112.1,yavapai
86325,AZ,34.729999999999997,-111.91,yavapai
86326,AZ,34.75,-112.01,yavapai
86327,AZ,34.56,-112.12,yavapai
86329,AZ,34.5,-112.22,yavapai
86330,AZ,34.67,-112.52,yavapai
86331,AZ,34.71,-112.16,yavapai
86332,AZ,34.29,-112.66,yavapai
86333,AZ,34.340000000000003,-112.03,yavapai
86334,AZ,34.9,-112.43,yavapai
86335,AZ,34.68,-111.7,yavapai
86336,AZ,34.94,-111.94,yavapai
86337,AZ,35.130000000000003,-112.99,yavapai
86338,AZ,34.58,-112.77,yavapai
86339,AZ,34.86,-111.76,yavapai
86340,AZ,34.86,-111.79,yavapai
86341,AZ,34.770000000000003,-111.76,yavapai
86342,AZ,34.630000000000003,-111.77,yavapai
86343,AZ,34.200000000000003,-112.34,yavapai
